pad,x,y,scale,direction,cobo,asad,aget,channel,cy,cx
1759,-95.710587,53.133205,0.5,0,9,0,3,20,95.710587,-52.42476230037601
1760,-93.25647,53.133205,0.5,1,9,0,3,9,93.25647,-53.841647699623984
1761,-93.25647,57.383862,0.5,0,9,0,2,40,93.25647,-56.675419300376014
1762,-90.802353,53.133205,0.5,0,9,0,2,44,90.802353,-52.42476230037601
1763,-90.802353,57.383862,0.5,1,9,0,2,32,90.802353,-58.09230469962399
1764,-88.348236,57.383862,0.5,0,9,0,2,24,88.348236,-56.675419300376014
1765,-88.348236,53.133205,0.5,1,2,1,0,38,88.348236,-53.841647699623984
1766,-85.894112,57.383862,0.5,1,9,0,2,13,85.894112,-58.09230469962399
1767,-85.894112,53.133205,0.5,0,2,1,0,34,85.894112,-52.42476230037601
1768,-83.439995,53.133205,0.5,1,2,1,0,30,83.439995,-53.841647699623984
1769,-83.439995,57.383862,0.5,0,9,0,2,2,83.439995,-56.675419300376014
1770,-80.985878,53.133205,0.5,0,2,1,0,42,80.985878,-52.42476230037601
1771,-80.985878,57.383862,0.5,1,2,1,0,36,80.985878,-58.09230469962399
1772,-78.531761,57.383862,0.5,0,2,1,0,32,78.531761,-56.675419300376014
1773,-78.531761,53.133205,0.5,1,2,1,0,49,78.531761,-53.841647699623984
1774,-76.077644,57.383862,0.5,1,9,0,3,53,76.077644,-58.09230469962399
1775,-76.077644,53.133205,0.5,0,2,1,0,53,76.077644,-52.42476230037601
1776,-73.623528,53.133205,0.5,1,2,1,0,58,73.623528,-53.841647699623984
1777,-73.623528,57.383862,0.5,0,9,0,3,8,73.623528,-56.675419300376014
1778,-71.169411,53.133205,0.5,0,4,2,1,27,71.169411,-52.42476230037601
1779,-71.169411,57.383862,0.5,1,4,2,1,20,71.169411,-58.09230469962399
1780,-68.715294,57.383862,0.5,0,4,2,1,39,68.715294,-56.675419300376014
1781,-68.715294,53.133205,0.5,1,4,2,1,67,68.715294,-53.841647699623984
1782,-66.261177,57.383862,0.5,1,4,2,1,46,66.261177,-58.09230469962399
1783,-66.261177,53.133205,0.5,0,4,2,0,3,66.261177,-52.42476230037601
1784,-63.807056,53.133205,0.5,1,4,2,0,9,63.807056,-53.841647699623984
1785,-63.807056,57.383862,0.5,0,4,2,1,57,63.807056,-56.675419300376014
1786,-61.35294,53.133205,0.5,0,4,2,1,50,61.35294,-52.42476230037601
1787,-61.35294,57.383862,0.5,1,4,2,0,28,61.35294,-58.09230469962399
1788,-58.898823,57.383862,0.5,0,4,2,1,28,58.898823,-56.675419300376014
1789,-58.898823,53.133205,0.5,1,4,2,0,30,58.898823,-53.841647699623984
1790,-56.444706,57.383862,0.5,1,4,2,0,0,56.444706,-58.09230469962399
1791,-56.444706,53.133205,0.5,0,4,2,1,26,56.444706,-52.42476230037601
1792,-53.990585,53.133205,0.5,1,4,2,0,4,53.990585,-53.841647699623984
1793,-53.990585,57.383862,0.5,0,4,2,1,62,53.990585,-56.675419300376014
1794,-51.536469,53.133205,0.5,0,4,2,1,60,51.536469,-52.42476230037601
1795,-51.536469,57.383862,0.5,1,4,2,2,27,51.536469,-58.09230469962399
1796,-49.082352,57.383862,0.5,0,4,2,3,61,49.082352,-56.675419300376014
1797,-49.082352,53.133205,0.5,1,4,2,2,29,49.082352,-53.841647699623984
1798,-46.628235,57.383862,0.5,1,4,2,2,40,46.628235,-58.09230469962399
1799,-46.628235,53.133205,0.5,0,4,2,3,67,46.628235,-52.42476230037601
1800,-44.174118,53.133205,0.5,1,4,2,2,47,44.174118,-53.841647699623984
1801,-44.174118,57.383862,0.5,0,4,2,2,26,44.174118,-56.675419300376014
1802,-41.719997,53.133205,0.5,0,4,2,3,27,41.719997,-52.42476230037601
1803,-41.719997,57.383862,0.5,1,4,2,3,13,41.719997,-58.09230469962399
1804,-39.265881,57.383862,0.5,0,4,2,3,44,39.265881,-56.675419300376014
1805,-39.265881,53.133205,0.5,1,4,2,1,0,39.265881,-53.841647699623984
1806,-36.811764,57.383862,0.5,1,4,3,3,19,36.811764,-58.09230469962399
1807,-36.811764,53.133205,0.5,0,4,2,3,15,36.811764,-52.42476230037601
1808,-34.357647,53.133205,0.5,1,4,3,3,5,34.357647,-53.841647699623984
1809,-34.357647,57.383862,0.5,0,4,3,2,18,34.357647,-56.675419300376014
1810,-31.903528,53.133205,0.5,0,4,3,2,29,31.903528,-52.42476230037601
1811,-31.903528,57.383862,0.5,1,4,3,3,30,31.903528,-58.09230469962399
1812,-29.449411,57.383862,0.5,0,4,3,3,34,29.449411,-56.675419300376014
1813,-29.449411,53.133205,0.5,1,4,3,2,50,29.449411,-53.841647699623984
1814,-26.995293,57.383862,0.5,1,4,3,3,38,26.995293,-58.09230469962399
1815,-26.995293,53.133205,0.5,0,4,3,3,8,26.995293,-52.42476230037601
1816,-24.541176,53.133205,0.5,1,4,3,3,24,24.541176,-53.841647699623984
1817,-24.541176,57.383862,0.5,0,4,3,3,51,24.541176,-56.675419300376014
1818,-22.087059,53.133205,0.5,0,4,3,3,28,22.087059,-52.42476230037601
1819,-22.087059,57.383862,0.5,1,4,3,3,53,22.087059,-58.09230469962399
1820,-19.63294,57.383862,0.5,0,0,0,0,40,19.63294,-56.675419300376014
1821,-19.63294,53.133205,0.5,1,0,0,0,38,19.63294,-53.841647699623984
1822,-17.178823,57.383862,0.5,1,0,0,1,55,17.178823,-58.09230469962399
1823,-17.178823,53.133205,0.5,0,0,0,0,19,17.178823,-52.42476230037601
